"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2016-10-26","1","SAC","0","94","113","97.1","116.8","96.8",".351",".208",".529","50.0","55.6","6.2","4.6",".494","16.8","24.4",".234",".547","11.8","75.6",".221"
"2","2","2016-10-28","0","OKC","0","110","113","95.3","97.9","104.5",".340",".298",".509","43.6","35.7","9.5","4.0",".473","12.2","14.0",".223",".443","16.3","72.5",".292"
"3","3","2016-10-30","1","GSW","0","100","106","99.4","105.4","100.6",".278",".256",".495","53.8","51.4","9.9","11.1",".456","9.8","23.4",".200",".470","13.3","84.8",".337"
"4","4","2016-10-31","0","LAC","0","98","116","92.7","109.7","105.7",".369",".179",".502","50.0","54.3","10.4","0.0",".446","17.0","20.4",".274",".538","14.2","87.2",".375"
"5","5","2016-11-02","1","POR","1","118","115","105.6","102.9","101.2",".291",".155",".508","52.7","34.1","9.0","7.4",".451","9.4","24.6",".243",".475","11.3","81.8",".188"
"6","6","2016-11-04","0","NOP","1","112","111","105.5","104.6","96.2",".301",".258",".532","57.8","45.0","6.6","3.1",".473","12.5","24.5",".258",".511","7.0","88.7",".160"
"7","7","2016-11-06","0","LAL","0","108","119","101.9","112.2","106.0",".308",".220",".523","43.0","50.0","7.5","3.0",".473","14.1","22.4",".242",".511","15.3","65.9",".300"
"8","8","2016-11-08","0","POR","0","121","124","119.1","122.1","101.6",".384",".244",".602","53.9","41.9","9.8","4.0",".541","13.7","34.9",".326",".642","17.6","78.8",".247"
"9","9","2016-11-09","1","DET","1","107","100","105.6","98.7","101.3",".357",".262",".550","54.4","52.6","6.9","9.0",".500","14.9","23.8",".274",".410","9.6","81.3",".303"
"10","10","2016-11-12","1","BRK","0","104","122","96.5","113.2","107.8",".196",".308",".447","50.0","57.5","8.4","6.4",".411","9.4","25.8",".150",".571","14.9","86.4",".310"
"11","11","2016-11-13","0","GSW","0","120","133","114.0","126.3","105.3",".289",".267",".591","46.9","58.7","9.5","5.6",".556","11.4","18.6",".222",".609","13.7","78.9",".310"
"12","12","2016-11-16","0","DEN","0","104","120","104.6","120.6","99.5",".367",".253",".567","41.7","35.9","8.0","5.3",".544","14.8","16.7",".228",".527","11.9","66.7",".237"
"13","13","2016-11-18","0","IND","1","116","96","124.3","102.8","93.3",".186",".268",".553","56.8","45.7","15.0","10.1",".521","9.5","41.9",".155",".480","16.9","73.7",".303"
"14","14","2016-11-19","0","PHI","0","105","120","99.0","113.2","106.0",".370",".228",".491","50.0","46.2","10.4","13.7",".457","12.3","24.0",".228",".622","16.0","84.2",".151"
"15","15","2016-11-21","0","WAS","0","101","106","100.1","105.0","100.9",".165",".297",".517","53.6","56.4","3.0","11.1",".489","17.7","29.5",".132",".462","9.4","73.6",".242"
"16","16","2016-11-23","0","ORL","1","92","87","97.1","91.8","94.7",".301",".301",".556","50.0","45.5","6.3","10.6",".514","17.1","15.4",".233",".401","9.8","77.6",".154"
"17","17","2016-11-25","1","MIN","0","85","98","86.5","99.7","98.3",".266",".329",".482","55.2","53.1","11.2","9.5",".443","22.1","30.0",".190",".441","15.0","76.6",".271"
