"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2016-10-26","1","MIN","1","102","98","111.8","107.5","91.2",".338",".300",".555","50.0","52.8","6.6","16.2",".519","12.4","26.8",".238",".453","9.2","69.4",".233"
"2","2","2016-10-29","0","NYK","0","104","111","107.9","115.1","96.4",".302",".291",".534","49.4","51.4","3.1","3.6",".483","11.0","23.9",".244",".566","11.4","82.9",".329"
"3","3","2016-10-30","1","WAS","1","112","103","112.2","103.2","90.4",".295",".352",".563","54.0","61.5","9.0","3.3",".528","12.3","25.6",".216",".471","12.6","81.8",".256"
"4","4","2016-11-01","0","MIN","0","80","116","82.0","118.8","97.6",".387",".320",".456","39.0","37.0","17.4","6.9",".387","18.6","16.7",".293",".628","19.2","70.6",".231"
"5","5","2016-11-02","1","NOP","1","89","83","87.0","81.1","92.6",".213",".287",".433","54.7","60.6","11.7","10.6",".394","14.2","25.5",".160",".438","19.3","88.6",".148"
"6","6","2016-11-04","1","LAC","0","88","99","92.0","103.5","95.7",".262",".310",".470","50.5","83.9","4.2","15.5",".423","16.1","26.5",".202",".424","10.0","76.1",".318"
"7","7","2016-11-06","1","POR","0","94","100","102.5","109.1","91.7",".395",".321",".494","54.3","48.4","9.8","13.2",".420","12.0","27.3",".321",".549","15.3","86.5",".310"
"8","8","2016-11-08","1","DEN","1","108","107","109.7","108.7","98.5",".221",".279",".572","45.1","65.9","14.2","10.9",".552","12.9","19.5",".151",".571","20.6","80.0",".386"
"9","9","2016-11-12","0","MIL","0","96","106","104.0","114.9","92.3",".269",".385",".550","47.8","57.1","8.7","8.0",".487","13.0","9.1",".256",".581","12.5","85.3",".397"
"10","10","2016-11-14","0","UTA","1","102","96","120.5","113.5","84.6",".342",".276",".583","60.3","36.1","4.7","4.4",".526","15.5","37.8",".289",".534","8.8","83.3",".247"
"11","11","2016-11-16","0","LAC","1","111","107","118.7","114.4","93.5",".232",".317",".614","55.1","60.0","6.4","3.6",".579","14.2","25.0",".195",".512","7.7","81.0",".296"
"12","12","2016-11-18","0","DAL","1","80","64","92.2","73.8","86.7",".156",".325",".486","51.6","51.6","8.1","6.3",".461","12.7","16.7",".117",".322","17.1","80.4",".233"
"13","13","2016-11-19","1","MIN","1","93","71","110.8","84.6","84.0",".500",".237",".502","57.5","51.7","9.5","16.7",".395","8.8","31.0",".434",".445","17.8","86.8",".219"
"14","14","2016-11-21","0","CHO","1","105","90","116.3","99.7","90.3",".202",".310",".574","50.6","60.0","7.8","19.0",".548","9.9","16.2",".155",".473","10.3","81.0",".288"
"15","15","2016-11-23","0","PHI","1","104","99","90.3","85.9","95.4",".242",".293",".475","45.1","63.2","11.3","15.8",".434","12.0","15.8",".182",".441","20.1","82.2",".183"
"16","16","2016-11-25","1","MIA","0","81","90","91.1","101.2","88.9",".280",".232",".440","53.7","48.3","3.4","25.9",".378","15.6","32.0",".232",".459","7.9","77.8",".141"
"17","17","2016-11-26","0","MIA","1","110","107","121.8","118.4","90.3",".452",".342",".628","46.6","62.2","5.5","10.0",".568","6.4","6.1",".370",".562","8.9","80.0",".198"
"18","18","2016-11-28","1","CHO","0","85","104","87.9","107.5","96.7",".146",".326",".449","47.2","58.3","10.3","7.1",".444","11.2","17.4",".067",".494","12.0","79.1",".280"
"19","19","2016-11-30","0","TOR","0","105","120","115.6","132.1","90.8",".317",".329",".562","41.1","44.4","14.3","2.7",".506","13.0","26.7",".268",".667","17.7","64.3",".406"
"20","20","2016-12-01","1","ORL","1","95","94","102.0","100.9","93.2",".354",".228",".520","48.1","54.5","9.7","18.0",".462","9.9","18.6",".278",".486","16.2","81.6",".297"
"21","21","2016-12-03","1","LAL","1","103","100","112.2","108.9","91.8",".170",".341",".544","49.4","78.0","14.2","11.7",".523","10.4","31.8",".125",".475","16.1","67.4",".284"
"22","22","2016-12-05","0","NOP","1","110","108","98.4","96.6","92.5",".202",".327",".486","53.0","54.8","7.2","6.0",".466","11.0","21.3",".125",".444","9.2","88.9",".202"
"23","23","2016-12-06","1","PHI","1","96","91","97.2","92.1","98.8",".407",".198",".473","54.1","54.5","8.1","12.2",".395","11.4","25.0",".326",".476","14.6","82.0",".159"
"24","24","2016-12-08","1","POR","1","88","86","92.5","90.4","95.1",".345",".230",".439","52.7","41.9","8.4","3.7",".391","10.7","27.8",".230",".348","10.8","76.8",".354"
"25","25","2016-12-10","1","GSW","1","110","89","113.9","92.1","96.6",".333",".299",".551","52.8","60.5","10.4","10.0",".483","9.1","25.6",".299",".500","21.1","78.3",".156"
"26","26","2016-12-13","0","CLE","0","86","103","90.4","108.3","95.1",".174",".256",".464","48.3","54.3","10.5","12.0",".430","13.9","23.4",".140",".531","15.7","76.2",".210"
