"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2016-10-26","1","HOU","1","120","114","120.7","114.7","99.4",".247",".393",".608","50.0","46.7","10.1","7.0",".573","13.2","27.5",".202",".552","12.5","73.7",".221"
"2","2","2016-10-28","0","UTA","0","89","96","96.6","104.2","92.1",".250",".274",".477","47.8","50.0","6.5","14.0",".435","13.1","24.4",".190",".453","13.1","71.1",".373"
"3","3","2016-10-30","0","OKC","0","96","113","90.7","106.7","105.9",".276",".368",".492","47.7","57.1","14.2","2.9",".443","17.7","23.9",".218",".521","15.6","75.0",".147"
"4","4","2016-11-01","0","IND","0","108","115","104.9","111.7","102.9",".281",".315",".540","50.6","35.0","7.8","3.4",".483","16.0","25.6",".247",".529","13.1","75.0",".264"
"5","5","2016-11-02","0","ATL","1","123","116","121.1","114.2","101.6",".222",".244",".622","53.2","50.0","10.8","17.0",".583","13.2","28.9",".200",".547","15.5","75.6",".271"
"6","6","2016-11-04","1","GSW","1","117","97","114.2","94.7","102.5",".221",".316",".561","56.0","57.8","8.8","9.3",".516","13.3","34.0",".200",".483","17.4","79.5",".163"
"7","7","2016-11-06","1","PHO","1","119","108","112.2","101.9","106.0",".389",".256",".565","57.0","53.7","7.5","7.0",".511","15.3","34.1",".300",".473","14.1","77.6",".242"
"8","8","2016-11-08","1","DAL","0","97","109","107.6","120.9","90.2",".179",".333",".576","50.0","52.6","6.7","1.7",".551","16.0","21.6",".141",".585","11.0","78.4",".159"
"9","9","2016-11-10","0","SAC","1","101","91","103.4","93.2","97.6",".297",".365",".603","49.4","47.4","8.2","3.1",".574","20.1","11.1",".216",".447","13.8","77.6",".176"
"10","10","2016-11-12","0","NOP","1","126","99","132.8","104.3","94.9",".074",".319",".649","52.8","69.2","8.4","7.1",".638","9.3","25.0",".064",".467","9.2","75.5",".167"
"11","11","2016-11-13","0","MIN","0","99","125","102.5","129.4","96.6",".423",".338",".588","47.0","48.5","6.2","9.4",".521","16.8","12.5",".352",".606","9.2","79.1",".350"
"12","12","2016-11-15","1","BRK","1","125","118","115.7","109.2","108.1",".467",".304",".563","53.9","58.5","8.3","3.4",".495","9.0","26.9",".370",".515","11.5","82.0",".162"
"13","13","2016-11-18","1","SAS","0","107","116","115.1","124.8","93.0",".241",".287",".556","57.0","61.5","6.5","1.9",".517","11.9","32.6",".195",".628","12.2","90.9",".231"
"14","14","2016-11-20","1","CHI","0","110","118","111.3","119.3","98.9",".226",".333",".538","39.8","63.4","11.1","4.6",".511","8.9","20.0",".161",".563","13.9","62.8",".230"
"15","15","2016-11-22","1","OKC","1","111","109","113.0","111.0","98.2",".193",".325",".616","46.7","59.5","8.1","10.8",".590","15.9","17.1",".157",".549","13.4","72.5",".087"
"16","16","2016-11-23","0","GSW","0","106","149","101.5","142.7","104.4",".237",".215",".516","43.5","55.0","4.8","2.0",".473","9.7","14.3",".194",".727","9.0","83.3",".279"
"17","17","2016-11-25","1","GSW","0","85","109","83.7","107.4","101.5",".256",".244",".424","50.6","62.5","11.8","5.5",".383","15.2","25.9",".178",".584","15.8","88.6",".145"
"18","18","2016-11-27","1","ATL","1","109","94","115.1","99.3","94.7",".211",".211",".525","58.2","47.6","7.4","3.8",".484","8.0","32.6",".179",".511","11.5","84.4",".045"
"19","19","2016-11-29","0","NOP","0","88","105","93.2","111.2","94.5",".207",".345",".464","46.5","70.3","8.5","8.8",".454","11.2","18.0",".103",".477","7.5","74.5",".239"
"20","20","2016-11-30","0","CHI","1","96","90","94.7","88.8","101.4",".506",".099",".485","56.6","51.5","11.8","4.3",".420","18.8","36.0",".346",".374","11.9","75.0",".242"
"21","21","2016-12-02","0","TOR","0","80","113","87.2","123.2","91.7",".183",".280",".398","51.1","50.0","6.5","3.7",".376","13.7","33.9",".108",".614","10.1","79.4",".133"
"22","22","2016-12-03","0","MEM","0","100","103","108.9","112.2","91.8",".358",".259",".533","50.6","45.7","7.6","6.9",".475","16.1","32.6",".284",".523","10.4","68.2",".125"
"23","23","2016-12-05","1","UTA","0","101","107","112.7","119.4","89.6",".264",".161",".520","52.4","38.5","8.9","2.1",".477","9.3","34.9",".207",".556","11.5","71.8",".225"
"24","24","2016-12-07","0","HOU","0","95","134","88.6","125.0","107.2",".310",".230",".480","42.9","41.2","12.1","6.9",".420","21.4","27.5",".253",".622","16.2","62.5",".181"
"25","25","2016-12-09","1","PHO","0","115","119","112.3","116.2","102.4",".391",".299",".564","52.7","45.0","3.9","3.1",".511","12.8","22.2",".299",".542","6.3","81.3",".168"
"26","26","2016-12-11","1","NYK","0","112","118","113.0","119.1","99.1",".250",".318",".573","48.2","61.9","7.1","1.6",".534","12.5","20.0",".205",".548","9.3","80.0",".310"
"27","27","2016-12-12","0","SAC","0","92","116","95.9","120.9","96.0",".250",".274",".493","45.3","54.5","12.5","4.9",".452","16.9","33.3",".190",".619","18.4","62.9",".143"
"28","28","2016-12-14","0","BRK","0","97","107","101.0","111.4","96.0",".374",".297",".458","44.5","31.4","8.3","11.8",".418","8.6","30.0",".231",".448","12.6","62.0",".349"
"29","29","2016-12-16","0","PHI","1","100","89","102.3","91.1","97.7",".278",".380",".564","48.9","52.8","10.2","7.0",".513","18.4","20.0",".241",".398","14.7","70.4",".216"
