"Id","G","Date","Home","Opp","Wins","Tm","Opper","ORtg","DRtg","Pace","FTr","3PAr","TSP","TRBP","ASTP","STLP","BLKP","eFGP","TOVP","ORBP","FT_FGA","OppFGP","OppTOVP","DRBP","OppFT_FGA"
"1","1","2016-10-26","1","DEN","0","102","107","95.3","99.9","107.1",".283",".207",".493","36.3","81.6","14.9","8.5",".429","9.6","9.6",".250",".494","19.7","71.8",".301"
"2","2","2016-10-28","1","GSW","0","114","122","105.8","113.2","107.7",".230",".220",".518","50.0","61.7","7.4","7.9",".495","10.6","23.1",".150",".533","11.9","80.4",".275"
"3","3","2016-10-29","0","SAS","0","79","98","84.4","104.7","93.6",".174",".256",".427","47.4","43.8","6.4","8.5",".395","8.9","13.7",".128",".482","8.8","86.4",".217"
"4","4","2016-11-01","1","MIL","0","113","117","110.9","114.8","101.9",".500",".317",".565","46.2","63.9","12.8","8.5",".494","11.5","19.1",".390",".538","13.0","75.0",".209"
"5","5","2016-11-02","0","MEM","0","83","89","81.1","87.0","92.6",".198",".420",".471","45.3","56.7","7.8","13.4",".438","19.3","11.4",".148",".394","14.2","74.5",".160"
"6","6","2016-11-04","1","PHO","0","111","112","104.6","105.5","96.2",".298",".319",".522","42.2","65.1","6.6","18.8",".511","7.0","11.3",".160",".473","12.5","75.5",".258"
"7","7","2016-11-07","0","GSW","0","106","116","108.3","118.5","97.9",".338",".263",".577","53.1","66.7","8.2","1.8",".531","17.1","28.2",".263",".589","13.6","76.2",".111"
"8","8","2016-11-08","0","SAC","0","94","102","101.1","109.7","92.9",".214",".250",".511","50.6","60.5","5.4","16.1",".482","9.8","17.1",".155",".531","10.0","86.8",".198"
"9","9","2016-11-10","0","MIL","1","112","106","113.8","107.7","98.4",".303",".281",".555","49.5","56.4","9.1","9.6",".489","9.0","22.9",".281",".473","9.7","76.6",".220"
"10","10","2016-11-12","1","LAL","0","99","126","104.3","132.8","94.9",".211",".222",".503","47.2","51.3","4.2","7.8",".467","9.2","24.5",".167",".638","9.3","75.0",".064"
"11","11","2016-11-14","1","BOS","1","106","105","106.3","105.3","99.8",".456",".266",".559","51.1","45.7","9.0","7.4",".481","14.4","19.5",".380",".463","8.8","77.6",".179"
"12","12","2016-11-16","0","ORL","0","82","89","86.8","94.2","94.4",".232",".256",".454","49.0","63.3","5.3","14.8",".409","15.8","19.6",".183",".443","11.1","75.0",".125"
"13","13","2016-11-18","1","POR","1","113","101","116.7","104.3","96.8",".244",".293",".622","43.5","68.9","9.3","22.2",".604","8.1","2.8",".171",".443","12.3","73.5",".261"
"14","14","2016-11-19","1","CHO","1","121","116","109.6","105.1","100.0",".255",".367",".555","50.5","62.8","8.2","11.1",".510","9.2","18.5",".214",".490","11.4","84.3",".216"
"15","15","2016-11-22","0","ATL","1","112","94","117.3","98.4","95.5",".140",".291",".613","50.0","64.4","11.5","16.1",".587","9.0","12.8",".128",".518","14.4","85.4",".071"
"16","16","2016-11-23","1","MIN","1","117","96","110.5","90.7","105.9",".277",".289",".628","52.3","60.0","9.4","8.7",".596","15.4","10.8",".217",".401","14.5","83.7",".314"
"17","17","2016-11-25","0","POR","0","104","119","103.0","117.9","100.9",".382",".303",".586","39.5","55.6","3.0","11.8",".559","13.6","4.8",".250",".530","9.3","72.7",".130"
"18","18","2016-11-27","0","DAL","0","81","91","94.9","106.6","85.4",".234",".260",".477","47.7","56.7","9.4","6.0",".422","13.3","22.2",".208",".481","12.3","74.4",".221"
"19","19","2016-11-29","1","LAL","1","105","88","111.2","93.2","94.5",".284",".352",".530","53.5","63.2","10.6","5.3",".477","7.5","25.5",".239",".454","11.2","82.0",".103"
"20","20","2016-12-02","1","LAC","0","96","114","104.5","124.1","91.9",".247",".235",".509","46.0","53.8","5.4","6.3",".488","10.5","22.2",".153",".568","8.7","71.4",".159"
"21","21","2016-12-04","0","OKC","0","92","101","89.1","97.9","103.2",".194",".286",".432","46.4","41.7","7.8","9.8",".398","9.4","20.0",".143",".494","13.0","78.0",".146"
"22","22","2016-12-05","1","MEM","0","108","110","96.6","98.4","92.5",".212",".323",".499","47.0","53.8","6.3","10.0",".444","9.2","11.1",".202",".466","11.0","78.7",".125"
"23","23","2016-12-08","1","PHI","0","88","99","95.2","107.1","92.5",".262",".298",".470","50.5","54.5","3.2","3.9",".435","11.4","23.9",".179",".495","9.4","76.6",".099"
"24","24","2016-12-10","0","LAC","0","105","133","106.8","135.3","98.3",".313",".229",".556","45.9","62.5","3.1","1.7",".530","14.5","20.5",".205",".665","9.3","74.3",".085"
